HARGA,LT,LB,JKT,JKM,KOTA
18000000000,916,147,5,7,JAKSEL
4500000000,109,188,2,3,JAKSEL
10000000000,395,450,5,5,JAKSEL
4250000000,152,275,3,3,JAKSEL
4500000000,138,250,5,4,JAKSEL
2800000000,100,150,3,3,JAKSEL
15000000000,2010,800,4,3,JAKSEL
7800000000,188,367,3,3,JAKSEL
21000000000,500,525,4,5,JAKSEL
38000000000,1229,800,4,4,JAKSEL
29950000000,1000,600,4,4,JAKSEL
7500000000,350,350,6,6,JAKSEL
25000000000,987,400,4,3,JAKSEL
36000000000,626,500,5,3,JAKSEL
20000000000,472,650,6,5,JAKSEL
29000000000,1186,600,8,9,JAKSEL
5500000000,234,115,2,2,JAKSEL
16590000000,405,495,4,4,JAKSEL
33500000000,1000,800,5,6,JAKSEL
21000000000,802,904,4,3,JAKSEL
7720000000,125,298,4,4,JAKSEL
22000000000,1019,650,4,3,JAKSEL
18500000000,180,600,4,4,JAKSEL
16500000000,933,600,5,5,JAKSEL
11980000000,241,572,4,5,JAKSEL
8500000000,250,250,4,4,JAKSEL
7700000000,190,350,3,2,JAKSEL
4200000000,270,300,4,4,JAKSEL
15700000000,860,325,5,4,JAKSEL
17000000000,916,147,5,7,JAKSEL
8000000000,323,317,5,4,JAKSEL
9550000000,251,288,3,3,JAKSEL
7600000000,278,350,4,4,JAKSEL
10200000000,320,360,6,4,JAKSEL
5900000000,240,350,4,4,JAKSEL
6000000000,178,309,4,3,JAKSEL
10800000000,438,540,6,5,JAKSEL
55000000000,1500,1200,7,6,JAKSEL
14000000000,714,750,5,3,JAKSEL
6900000000,358,450,4,3,JAKSEL
55000000000,1497,1200,5,5,JAKSEL
17500000000,1056,600,5,5,JAKSEL
3500000000,100,156,5,4,JAKSEL
15500000000,340,500,4,4,JAKSEL
6900000000,188,350,3,3,JAKSEL
16000000000,407,575,5,4,JAKSEL
11900000000,241,571,4,5,JAKSEL
7500000000,188,351,3,3,JAKSEL
40000000000,1500,700,4,4,JAKSEL
12500000000,371,300,4,4,JAKSEL
11000000000,438,540,8,4,JAKSEL
55000000000,1500,1200,6,6,JAKSEL
12000000000,512,350,3,4,JAKSEL
6500000000,230,400,4,4,JAKSEL
13940000000,539,610,4,4,JAKSEL
5700000000,168,170,3,3,JAKSEL
8000000000,350,350,10,5,JAKSEL
6900000000,128,315,3,3,JAKSEL
8000000000,190,420,4,4,JAKSEL
5500000000,107,311,4,3,JAKSEL
10700000000,400,300,4,3,JAKSEL
21000000000,1042,552,5,4,JAKSEL
6500000000,200,300,4,4,JAKSEL
16000000000,447,500,4,4,JAKSEL
13500000000,385,525,5,4,JAKSEL
15750000000,1060,375,3,2,JAKSEL
23000000000,558,553,8,6,JAKSEL
21000000000,1042,550,7,6,JAKSEL
19300000000,1287,700,5,3,JAKSEL
4300000000,124,187,3,3,JAKSEL
20000000000,550,650,4,4,JAKSEL
9550000000,251,288,4,4,JAKSEL
22000000000,455,570,4,5,JAKSEL
23000000000,650,600,5,5,JAKSEL
55000000000,1500,1000,5,6,JAKSEL
17500000000,430,820,5,6,JAKSEL
8000000000,299,400,4,4,JAKSEL
4600000000,109,180,2,3,JAKSEL
15000000000,714,750,5,5,JAKSEL
18000000000,600,400,6,6,JAKSEL
1370000000,425,216,4,4,JAKSEL
21000000000,1100,700,5,4,JAKSEL
12000000000,315,609,5,4,JAKSEL
24300000000,1944,1944,5,4,JAKSEL
8000000000,380,450,5,5,JAKSEL
18900000000,470,660,4,4,JAKSEL
3200000000,78,65,3,2,JAKSEL
21900000000,377,260,6,5,JAKSEL
5600000000,269,300,4,4,JAKSEL
5000000000,176,400,5,2,JAKSEL
15000000000,714,750,5,5,JAKSEL
4800000000,276,200,4,3,JAKSEL
17000000000,663,530,7,8,JAKSEL
7800000000,250,300,4,4,JAKSEL
15000000000,755,416,7,6,JAKSEL
13500000000,384,450,4,4,JAKSEL
26500000000,1047,500,5,3,JAKSEL
7500000000,170,300,4,3,JAKSEL
11900000000,239,568,4,4,JAKSEL
17500000000,477,520,4,3,JAKSEL
15500000000,633,530,5,3,JAKSEL
5500000000,188,314,4,4,JAKSEL
9900000000,741,411,5,5,JAKSEL
8650000000,225,518,4,4,JAKSEL
3650000000,78,185,3,3,JAKSEL
18500000000,660,600,5,4,JAKSEL
3600000000,164,150,4,4,JAKSEL
3400000000,95,156,4,3,JAKSEL
18000000000,786,1000,6,7,JAKSEL
17900000000,450,400,4,3,JAKSEL
4500000000,124,184,3,3,JAKSEL
4500000000,300,235,4,4,JAKSEL
18000000000,600,500,6,6,JAKSEL
15000000000,741,750,5,5,JAKSEL
8000000000,380,450,5,5,JAKSEL
18900000000,470,660,4,4,JAKSEL
21900000000,377,260,6,5,JAKSEL
5600000000,269,300,4,4,JAKSEL
4000000000,117,221,4,3,JAKSEL
20980000000,959,455,6,5,JAKSEL
3400000000,95,156,4,3,JAKSEL
25000000000,1100,550,5,4,JAKSEL
11500000000,400,416,5,3,JAKSEL
11510000000,233,544,7,7,JAKSEL
3600000000,78,185,4,4,JAKSEL
15000000000,250,460,4,4,JAKSEL
17500000000,518,450,5,7,JAKSEL
4000000000,117,221,4,3,JAKSEL
8000000000,350,350,2,1,JAKSEL
20000000000,550,600,5,5,JAKSEL
30000000000,555,527,8,6,JAKSEL
27000000000,670,650,4,4,JAKSEL
20000000000,1040,600,4,3,JAKSEL
15750000000,598,243,4,4,JAKSEL
34500000000,974,800,5,6,JAKSEL
4300000000,124,184,3,3,JAKSEL
8500000000,230,310,5,3,JAKSEL
9500000000,225,400,3,3,JAKSEL
19000000000,520,500,5,5,JAKSEL
13000000000,208,458,4,3,JAKSEL
11900000000,239,568,4,4,JAKSEL
13000000000,616,600,5,4,JAKSEL
20000000000,890,600,5,5,JAKSEL
7500000000,186,380,3,3,JAKSEL
6150000000,158,400,3,3,JAKSEL
10500000000,500,700,4,4,JAKSEL
13500000000,384,450,4,4,JAKSEL
55000000000,1475,1200,5,6,JAKSEL
19000000000,358,635,4,5,JAKSEL
13900000000,450,248,4,4,JAKSEL
29500000000,923,429,9,5,JAKSEL
22000000000,455,570,4,5,JAKSEL
60000000000,1500,1200,6,6,JAKSEL
13000000000,314,450,4,4,JAKSEL
16000000000,895,420,5,5,JAKSEL
18000000000,968,600,4,3,JAKSEL
30000000000,1000,800,5,6,JAKSEL
47000000000,1375,1400,5,5,JAKSEL
6000000000,206,300,4,4,JAKSEL
9550000000,251,288,4,5,JAKSEL
32000000000,973,1100,5,5,JAKSEL
19000000000,435,650,4,4,JAKSEL
55000000000,1500,1200,6,6,JAKSEL
17000000000,624,557,6,5,JAKSEL
19000000000,870,700,6,4,JAKSEL
14700000000,474,455,4,5,JAKSEL
13800000000,260,360,6,5,JAKSEL
15000000000,450,400,4,3,JAKSEL
10000000000,160,250,3,4,JAKSEL
6250000000,150,440,3,2,JAKSEL
7800000000,200,390,4,4,JAKSEL
6800000000,137,285,4,3,JAKSEL
15000000000,398,500,5,4,JAKSEL
19000000000,916,1000,5,7,JAKSEL
6750000000,217,193,4,4,JAKSEL
28000000000,330,300,3,3,JAKSEL
17000000000,921,310,3,3,JAKSEL
11900000000,260,365,4,4,JAKSEL
9530000000,150,523,3,3,JAKSEL
10400000000,282,280,4,3,JAKSEL
6500000000,138,290,4,3,JAKSEL
15000000000,658,500,3,3,JAKSEL
6000000000,200,272,4,4,JAKSEL
6900000000,137,315,3,2,JAKSEL
16000000000,521,470,7,6,JAKSEL
19000000000,400,788,4,3,JAKSEL
25000000000,865,450,4,4,JAKSEL
15500000000,1100,600,4,4,JAKSEL
12600000000,540,800,5,4,JAKSEL
7900000000,228,465,4,4,JAKSEL
20000000000,462,645,5,5,JAKSEL
5000000000,143,200,3,3,JAKSEL
18000000000,1900,650,6,6,JAKSEL
1100000000,90,180,3,3,JAKSEL
6500000000,427,300,4,4,JAKSEL
17000000000,407,850,6,5,JAKSEL
6500000000,217,195,4,3,JAKSEL
8500000000,307,400,4,5,JAKSEL
13500000000,429,600,5,4,JAKSEL
850000000,76,60,2,2,JAKSEL
14000000000,460,500,5,4,JAKSEL
11200000000,371,250,6,3,JAKSEL
7700000000,200,373,4,3,JAKSEL
10000000000,388,343,4,4,JAKSEL
13500000000,282,380,4,4,JAKSEL
13000000000,410,800,4,4,JAKSEL
27000000000,660,800,5,4,JAKSEL
